Year,Station,Entry-Weekday,Entry-Sat,Entry-Sun,Exit-Weekday,Exit-Sat,Exit-Sun,Entry & Exit-Annual
2008,High Barnet                        ,4506,3158,1688,4246,2907,1692,167.94
2008,High Street Kensington             ,19333,16818,11391,20653,18006,11272,850.75
2008,Highbury & Islington               ,22583,16724,7460,21213,16317,8267,851.45
2008,Highgate                           ,7915,5571,3170,7610,4928,3225,298.30
2008,Hillingdon                         ,2335,1511,769,2212,1366,732,84.11
2008,Holborn                            ,48451,25349,14283,53115,28523,14302,1778.92
2008,Holland Park                       ,6485,4101,2662,6004,3999,2433,237.38
2008,Holloway Road                      ,12375,8526,4820,12249,8278,4828,471.14
2008,Hornchurch                         ,3376,1371,755,3457,1336,731,111.47
2008,Hounslow Central                   ,5932,3888,2799,5562,3740,2711,223.90
2008,Hounslow East                      ,6769,5407,3895,5011,3783,2914,245.88
2008,Hounslow West                      ,4750,3329,2467,4459,3107,2391,183.91
2008,Hyde Park Corner                   ,8910,9287,6887,9477,9255,6768,425.22
2008,Ickenham                           ,1749,929,467,1723,888,479,60.59
